Gene.symbol	t
A1BG	-0.688286282891886
A1CF	2.47852123402211
A3GALT2	1.23767265801326
A4GNT	0.805822853490446
AAAS	1.59542287579466
AACS	0.735914288490118
AADAC	-3.64056186031814
AADACL2	8.23847508316447
AADACP1	0.776132519657647
AADAT	-3.49385449519717
AAED1	-4.04860058151634
AAGAB	-0.00686344794882177
AAK1	-1.98300196250616
AAMDC	5.23923532186966
AAMP	1.29135880915944
AAR2	1.49016573774022
AARS	-6.35210188143615
AARS2	-0.311840759495208
AASDH	2.71273856428572
AASDHPPT	1.50968961711927
AASS	0.755200798018096
AATBC	-0.669017958499136
AATF	-0.666155348959706
AATK	0.510762214280769
ABAT	-1.56993598196293
ABCA1	15.3562024375737
ABCA10	-0.461764276984964
ABCA11P	-5.32425680878202
ABCA12	-2.49736541295781
ABCA2	-1.10257793278614
ABCA3	-1.32767421450813
ABCA4	-0.281654102594794
ABCA5	1.96186973237153
ABCA6	2.86097788093334
ABCA7	3.03416689306993
ABCA8	3.25412612666187
ABCA9	-7.10569326839324
ABCB10	0.128729714005202
ABCB11	-0.0528793302113911
ABCB6	-1.81249285268517
ABCB7	2.17286064206611
ABCB8	2.1289726177842
ABCB9	1.19681006209398
ABCC10	-0.172819398848428
ABCC11	0.688967313481348
ABCC12	1.00853417666851
ABCC2	3.35431469460501
ABCC3	-4.13135095682553
ABCC4	-1.91206396760354
ABCC5	2.39810082390365
ABCC6	-0.550022078993236
ABCC6P1	-4.40337765855969
ABCC6P2	0.909950956560555
ABCC8	2.52366551551212
ABCC9	0.64521172837254
ABCD1	-1.40340268858184
ABCD2	-11.5569955195589
ABCD3	0.69930984354079
ABCD4	-1.18189183845723
ABCE1	-5.56231181968412
ABCF1	-2.18142178747135
ABCF2	-4.29533543019994
ABCF3	0.16317883080095
ABCG1	1.40032977122005
ABCG4	2.80496987484293
ABCG5	0.351252878276442
ABCG8	1.65038585748742
ABHD1	0.491188165134466
ABHD10	1.38178724214989
ABHD11	-3.30938904040343
ABHD11-AS1	0.651592117996844
ABHD12	0.638132121509662
ABHD12B	-0.857364595035372
ABHD13	0.291866986564766
ABHD14A	-1.0651281071061
ABHD14B	-0.82245595342416
ABHD15	-0.346162960797363
ABHD16A	2.5389171674147
ABHD16B	-0.412206727773818
ABHD17A	-0.189861447831678
ABHD17B	0.68661754911614
ABHD17C	1.5886621120761
ABHD2	-0.375658067082029
ABHD3	-0.95259709281444
ABHD4	4.85690422489068
ABHD5	-2.25123190597556
ABHD6	-4.21298344620153
ABHD8	3.18456772380088
ABI1	4.42491965003454
ABI3	2.4533394219451
ABI3BP	4.17035833068767
ABL1	-0.562417627339477
ABL2	-0.644183599160751
ABLIM1	0.363092891985789
ABLIM2	-3.49833576821062
ABLIM3	-0.0704515388242458
ABR	-5.28513530553368
ABRACL	-1.31401148513396
ABT1	0.583908584063265
ABTB1	13.6311860689029
ABTB2	0.33947993810596
ACAA1	0.417357310296784
ACAA2	-0.245210070925928
ACACA	-0.852522369887092
ACACB	4.62678594299197
ACAD10	2.01647067468
ACAD11	0.136741160671704
ACAD8	0.0349555486447545
ACAD9	-1.49218098335812
ACADM	1.42257868770111
ACADS	-0.0156248132311951
ACADSB	3.48371158250117
ACADVL	1.73099847581061
ACAN	-0.487826350950649
ACAP2	1.34159021394374
ACAP3	0.324956748629391
ACAT1	2.50597079770531
ACAT2	-3.03329969164
ACBD3	1.24308029058342
ACBD4	0.296879179100112
ACBD5	0.863740393910344
ACBD6	-1.00990940239833
ACBD7	3.99162892890744
ACCS	3.19653081585462
ACD	0.667516697800642
ACE2	-0.57875316192939
ACER1	-1.36299990438569
ACER2	0.770705956258902
ACER3	-3.88855184121694
ACHE	1.33663919782112
ACIN1	1.09743895177729
ACKR1	-15.6566726191387
ACKR2	3.5661975459148
ACKR3	7.78125750574097
ACLY	-2.2212974066174
ACMSD	0.464922660644038
ACO1	-0.125951643739765
