Genes	PATU8902_24h
SQLE	0.22509439918067
HMGCS1	0.505819070893552
INSIG1	0.616830043315167
HMGCR	0.346485038863019
C14orf1	0.0546271492153796
CYP51A1	0.262289455614173
SCD	0.418138075190237
ELOVL6	0.13104545300826
HSD17B7	0.313058503376676
IDI1	0.443335222765325
IDH1	0.164827723537796
ACAT2	0.0903941488596391
FDFT1	0.0575913442435061
ACSS2	-0.019924600212021
DHCR7	-0.000284734726350599
LSS	0.00296825903390285
FGFBP1	0.33933751045522
MVK	-0.0154352723949209
MSMO1	0.642860306136559
LDLR	0.201079034884454
RDH11	0.0672388261492332
MMAB	0.170231793363839
ALDOC	0.0948744381164328
SC5D	0.480967578347108
STARD4	0.556376506619249
SREBF2	-0.0971192490917838
PCSK9	0.39574214149628
PANK3	0.255684417819581
LPIN1	0.148779568537341
OLMALINC	0.163892784928694
TMEM97	0.0754193876782949
TXNIP	-0.0166636175040651
PAX8-AS1	-0.0725791068334658
POLM	-0.0914219720288378
ACSL4	0.286278525678481
TDRKH	0.106570963629419
FAM25A	0.535649137730908
ZNF337-AS1	0.657226256396966
DHCR24	0.0450112337029349
HYAL1	0.156230470315761
ACSL3	0.216666024536917
GPR75-ASB3	-0.555545405767608
NSDHL	-0.198672134743657
BHLHE40	0.209292492014486
MICA	-0.147042835279609
CNN3	-0.205307782190602
MYLIP	0.150263375606233
MVD	0.0571194241839335
LOC101930071	-1.17585877894105
NINJ1	-0.289016000281459
CYB5B	0.0122081677837338
PKN3	-0.251880589675022
ABCA1	0.359667837337539
TM7SF2	0.193907551062583
IFITM1	-0.885974915376881
NPC1	0.00208483599992171
FDPS	-0.0561227925912569
RNF145	0.323907590877369
STXBP1	-0.131422574043162
RNF208	0.374135983935663
LCP1	0.288231206918846
FAM209B	-0.18218215348499
DBI	-0.128815381155945
MIR573	2.54340712260609
HSD17B12	0.0807596846331391
HBEGF	-0.321645835793714
ASB3	0.943804712818982
MYBBP1A	-0.186223889806598
HDDC2	-0.136874862299459
RRP9	-0.185883950142705
RNASEK	-0.293081109330175
IFIT2	0.41212907970958
JUN	-0.299974264041741
STX3	0.209158887821792
NUDT13	0.240208616526972
MED25	-0.227823609081797
LIPG	0.375223502260676
LOC645513	0.209199948306209
LOC101928794	0.56468121021921
GAL	-0.307409950518521
SYNE2	0.536962747796869
NOL6	-0.239168565485026
CASP8AP2	0.479609698088472
NFKB2	-0.152229071871078
AACS	-0.291689344210279
LRP8	0.160868715726982
ZNF787	-0.192305562306931
RARRES3	0.609381145902551
ITGA2	0.195594065169156
PDP2	0.208863065629034
PTMS	-0.0471600776557715
FAM104B	0.0371825154221721
PAQR4	-0.153833499180601
TFRC	0.314660465928547
EBP	-0.147539040172902
LIPA	0.193604570067197
SLC5A3	0.55433815656539
UCA1	0.345267425700891
RNASET2	-0.208113895787731
NXN	-0.141363392095408
FASN	0.0417641157805519
ABL2	0.230000444363533
JMJD1C	0.271033979047023
COL4A3BP	0.346755332066536
ID2	0.262172346158529
DENND5B	0.21047049535426
C6orf141	0.429044937282033
UQCRHL	-0.316160148788818
SWAP70	0.137374319602145
RRAGC	0.488806142186853
AFF4	0.157279811099102
ING4	-0.149659794677062
CD58	0.921299331534235
EMC2	0.342106436559595
KIAA1551	0.555076094226874
TTLL5	-0.0450744935832743
LPCAT3	-0.198132866109519
NXPE3	0.122450568470749
GMPR	-0.173189960189306
SLC29A2	0.236887901049324
ZFP30	0.630039034125883
PLAT	-0.186331110159076
SIRT2	-0.178538394005499
EGR1	0.315004912379829
GNE	0.104171699878448
KCTD14	1.20022428617675
LNPEP	0.272356559302911
NDUFV3	-0.246129113839677
STK19	-0.127573353246007
ITPR2	0.354840862198059
MMP24-AS1	-0.3078155337089
ZNF616	0.807435698640001
ANKRD1	0.0591632465410843
ZBTB38	0.0629832338936342
CDC37L1-AS1	-0.698393142764303
ACOT1	0.30528548173032
GOLGA4	0.461397516274154
EHD2	-0.0111189056013616
DST	0.28124201662981
PCMTD1	0.370392377493741
NIPBL	0.349188448371212
FBXW5	-0.315290339397213
MEF2B	-0.191719211229258
CHTF18	0.12263836595513
TRAPPC5	-0.510153624635485
MEF2D	-0.169832421559775
ZNF514	0.172208418699634
PANK1	0.482906886661707
HSPB1	-0.392214701090942
DHX37	-0.0311391557125038
XPA	0.141150118799236
G0S2	-0.357876170623442
OSGIN2	0.392269602251304
R3HCC1	-0.181029095484358
USP34	0.375319558494462
TRAPPC2	-0.146361928561109
BCKDK	-0.35145810902369
DNAJB4	0.457455596845158
HLA-DRA	0.309578711585106
PDGFB	0.396749567967747
GRPR	0.333162046738735
INF2	-0.201846730540225
DGAT1	-0.126320273911811
GEM	0.281208650115333
GULP1	0.37294066154241
RUSC2	-0.213254497736378
PANDAR	-0.0555613687475076
RPS14P3	-0.128382645170939
TSSC4	-0.145361940157384
SLC39A4	-0.183968169635222
NUCB2	0.208806436369496
MAFF	-0.215976715726944
RANBP2	0.354972324307224
TCIRG1	0.0565712711081905
CCNG2	0.492009528704708
TBL3	-0.113393140619975
RMND5A	0.198063829663529
CDC42EP1	-0.414150802864866
TMEM60	0.48236227954398
PPAN	-0.288164782614516
CRYBG3	0.409519666114364
HAUS3	0.534622407751678
TTLL12	-0.185598900829324
AKAP13	0.245577007825641
MRPS11	-0.313684590025913
C14orf159	-0.174561489612147
REV3L	0.561245328394204
MYEOV	0.23989015810054
CENPT	-0.178052901636765
LPP	0.339322266353822
HBP1	0.430335083411899
MIATNB	0.072653676959352
PCSK1N	-0.0469059649043979
PPP1R3B	0.319986335577338
CCDC86	-0.201342611676978
AHNAK2	0.324502760635153
STEAP1	0.30550522499446
RIMKLB	0.0859520924255106
TM4SF19-AS1	1.06381498404557
GPRC5B	0.0807719420867494
AKAP9	0.530744523922572
KTN1	0.290394610232703
TERF2IP	0.147955547905871
HERC4	0.29648610017018
ME1	0.278983538385699
BOP1	-0.269320578220333
NCOR2	-0.165111868443312
STIM1	-0.101929867037412
MGMT	-0.247872261087571
TAOK1	0.253206932179807
THBS1	-0.194470733357454
ZNF354C	0.457693880604186
LAGE3	-0.185613528109872
MIR137	5.81013075330064
CENPE	0.620110734633141
KBTBD4	-0.0538348284122945
CHERP	-0.307378380037708
POLRMT	-0.050837768321204
MTHFD1L	-0.328740076744288
ATF2	0.00229448118650577
SLC12A8	-0.0332886468548352
ZNF260	0.308164216878095
KLK8	0.397033901454493
KDM5B	0.15377992714128
BMPR2	0.161337119931238
TP53	-0.303425474925854
GARS	-0.187216735290535
CENPM	-0.071801672046397
ZNF292	0.576083456433823
EMC9	0.0274358516702611
TMEM131	0.191760003102546
ACD	-0.218963533108488
VPS26A	0.290116728006297
TRNP1	-0.291323102419572
TTC39B	0.293034596874149
CTGF	-0.140894439382198
PJA2	0.149565679764789
ARHGAP10	0.141668553679474
DALRD3	-0.050156389461713
MFGE8	-0.0977962278711102
GCSHP3	0.868222142398452
PIK3CA	0.53016370533866
GPR137	-0.230178823807587
FXN	-0.0337381315377758
RNF219	0.402856981470065
PNPLA8	0.453530557903123
CLASRP	-0.436330234412212
EEPD1	-0.132031641750469
PITX1	-0.0463758256422993
PHF3	0.306237577544648
SNAI2	0.344944852682838
